"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Gm16168" 5.96472574633848e-125 -6.62880379593871 0.006 0.263 1.30007162367194e-120 "IM" "Gm16168"
"Abca1" 3.91049840576808e-124 1.84928900360519 0.665 0.276 8.5233223252121e-120 "IM" "Abca1"
"Patj" 3.69146779370908e-123 -3.88872367270757 0.045 0.34 8.04592320316831e-119 "IM" "Patj"
"C3ar1" 5.42658225856684e-122 3.00967624485733 0.418 0.059 1.18277786907723e-117 "IM" "C3ar1"
"Pid1" 8.88332184276899e-122 1.10875602524546 0.932 0.729 1.93620882884993e-117 "IM" "Pid1"
"Tnfrsf11a" 3.67514606996111e-121 1.77797343886759 0.657 0.278 8.01034837408724e-117 "IM" "Tnfrsf11a"
"Rab44" 1.45828282618894e-120 -4.64488746354541 0.02 0.287 3.17847324796142e-116 "IM" "Rab44"
"Zdhhc14" 2.11658162581322e-120 1.92203333318885 0.573 0.175 4.6133013116225e-116 "IM" "Zdhhc14"
"Fry" 4.04426569761338e-119 -1.53063856095114 0.515 0.754 8.81488151451813e-115 "IM" "Fry"
"Pde4d" 3.91529035099074e-118 -1.71367542617058 0.532 0.757 8.53376684901942e-114 "IM" "Pde4d"
"Adarb1" 6.38815985152838e-118 -3.25972708301709 0.066 0.367 1.39236332123913e-113 "IM" "Adarb1"
"F7" 2.09830474513383e-117 -3.04110600527267 0.066 0.37 4.57346502249369e-113 "IM" "F7"
"Ntpcr" 3.4171787205753e-116 3.49346596688191 0.375 0.043 7.44808273936592e-112 "IM" "Ntpcr"
"Baz1a" 1.65039422341334e-115 -1.40831122646154 0.665 0.8 3.59719924935172e-111 "IM" "Baz1a"
"C1qc" 9.77919320247608e-115 2.73122262329713 0.42 0.068 2.13147295041169e-110 "IM" "C1qc"
"Gm34907" 2.92452840134789e-114 -5.24589487460651 0.014 0.261 6.37430210357787e-110 "IM" "Gm34907"
"Inpp5d" 3.64594225254601e-113 0.889141798150881 0.935 0.78 7.94669573364928e-109 "IM" "Inpp5d"
"Fcrls" 4.73202398991364e-113 4.46514006972624 0.326 0.018 1.03139194884158e-108 "IM" "Fcrls"
"Gpcpd1" 2.24204284090635e-112 -2.02679373178837 0.459 0.681 4.88675657603947e-108 "IM" "Gpcpd1"
"Mtmr7" 8.89777653344886e-112 -4.02100672646558 0.045 0.318 1.93935937323051e-107 "IM" "Mtmr7"
"Mir99ahg" 1.91717871212186e-111 2.47861969801191 0.507 0.152 4.1786827209408e-107 "IM" "Mir99ahg"
"P2ry6" 4.08505644536712e-111 1.63685419254408 0.638 0.274 8.90378902832217e-107 "IM" "P2ry6"
"Lyst" 6.24887760196412e-111 -1.61768590992701 0.463 0.725 1.3620053621241e-106 "IM" "Lyst"
"Nabp1" 6.56150546501764e-111 -3.01592167610145 0.093 0.392 1.43014573115524e-106 "IM" "Nabp1"
"Cpq" 2.08400879905457e-110 1.58719100960416 0.621 0.232 4.54230557841935e-106 "IM" "Cpq"
"Cytip" 1.17200156991931e-109 -3.06275381192794 0.107 0.409 2.55449462179614e-105 "IM" "Cytip"
"Akap13" 2.13085669394206e-109 -1.12091524765278 0.801 0.878 4.64441525011612e-105 "IM" "Akap13"
"Zeb2" 1.73755502009752e-108 0.779593456340934 0.983 0.909 3.78717492180455e-104 "IM" "Zeb2"
"Extl3" 1.86840076314768e-107 1.62501317376721 0.64 0.274 4.07236630335669e-103 "IM" "Extl3"
"Afap1" 5.91229765586407e-107 -3.25337325841741 0.061 0.34 1.28864439707213e-102 "IM" "Afap1"
"Gas7" 3.566746099031e-105 1.53587037872476 0.563 0.181 7.77407979744797e-101 "IM" "Gas7"
"Fgd2" 1.12796694909158e-103 1.78557900438907 0.484 0.121 2.45851676224e-99 "IM" "Fgd2"
"9530059O14Rik" 1.85260682722511e-103 -5.11070047391581 0.013 0.24 4.03794184061984e-99 "IM" "9530059O14Rik"
"Cacna1d" 2.95056582653011e-102 1.80564020758923 0.498 0.143 6.43105327550503e-98 "IM" "Cacna1d"
"Lepr" 3.54987117841347e-102 -4.9442388969672 0.014 0.24 7.73729922047001e-98 "IM" "Lepr"
"Abcc3" 1.02084493434459e-101 2.53124919430141 0.38 0.06 2.22503361889746e-97 "IM" "Abcc3"
"Cmklr1" 2.71636001356046e-101 2.24088570851688 0.411 0.078 5.92057828555637e-97 "IM" "Cmklr1"
"Gm47507" 7.48406283669156e-101 -2.54912792313808 0.061 0.338 1.63122633588529e-96 "IM" "Gm47507"
"Pag1" 1.07489596846842e-100 -1.63665137618087 0.639 0.759 2.34284325287376e-96 "IM" "Pag1"
"Tns3" 8.80336947981322e-100 1.11591611142931 0.734 0.335 1.91878241182009e-95 "IM" "Tns3"
"Trim29" 1.04995117684728e-99 -5.9571471326678 0.004 0.211 2.28847358505633e-95 "IM" "Trim29"
"Gcnt2" 1.82231843209483e-99 -2.21546408204686 0.167 0.473 3.97192525459389e-95 "IM" "Gcnt2"
"Lair1" 1.83725580077214e-99 1.39710047418458 0.695 0.351 4.00448274336295e-95 "IM" "Lair1"
"Nrg4" 1.88818426645898e-99 -5.47555308132516 0.01 0.225 4.11548642717399e-95 "IM" "Nrg4"
"Inpp4b" 7.20950263676037e-99 1.40363352435154 0.6 0.228 1.57138319470829e-94 "IM" "Inpp4b"
"Prkar2b" 7.51345746140183e-99 -2.65086397673605 0.136 0.425 1.63763318828714e-94 "IM" "Prkar2b"
"Gsr" 1.16970199204737e-98 -2.65060434787285 0.145 0.436 2.54948246186644e-94 "IM" "Gsr"
"Iqsec1" 1.57184713113503e-97 -2.008960185404 0.263 0.547 3.42599800702192e-93 "IM" "Iqsec1"
"Arhgap15" 2.06050836122675e-97 0.743233857239182 0.921 0.589 4.49108402412983e-93 "IM" "Arhgap15"
"C1qa" 2.11983598152698e-97 2.3378458453123 0.429 0.098 4.62039450533621e-93 "IM" "C1qa"
"Prickle2" 2.858613404083e-96 -2.75166371122545 0.074 0.342 6.2306337755393e-92 "IM" "Prickle2"
"Rgs10" 4.56881075454341e-95 2.04748964737911 0.437 0.108 9.95817992060282e-91 "IM" "Rgs10"
"Slc7a8" 2.45016914631505e-94 1.79886674686907 0.507 0.171 5.34038867130827e-90 "IM" "Slc7a8"
"Mreg" 6.68172853268911e-94 -4.83922552377068 0.014 0.225 1.45634955098492e-89 "IM" "Mreg"
"Gda" 2.0847085922578e-93 -1.89010956962735 0.23 0.535 4.5438308476851e-89 "IM" "Gda"
"Pou2f2" 8.06088828783041e-93 1.15796932331002 0.581 0.212 1.75695121121552e-88 "IM" "Pou2f2"
"Abca9" 1.80040650345519e-92 2.26786012226684 0.387 0.076 3.92416601493092e-88 "IM" "Abca9"
"Dip2c" 3.0252982232388e-91 -2.03059774942157 0.481 0.665 6.59394000737128e-87 "IM" "Dip2c"
"Dst" 1.66791064846922e-90 -1.71456966426008 0.569 0.712 3.63537804940352e-86 "IM" "Dst"
"Itgam" 2.36648521417966e-90 1.26323783982469 0.587 0.217 5.15799117282599e-86 "IM" "Itgam"
"Zfp704" 4.05018257462823e-90 1.47940963794328 0.62 0.287 8.82777793965968e-86 "IM" "Zfp704"
"Ccr2" 5.42757015225388e-90 1.21598387074041 0.588 0.223 1.18299319038525e-85 "IM" "Ccr2"
"Mical3" 6.40823922901135e-90 -2.76256925943206 0.077 0.334 1.39673982235531e-85 "IM" "Mical3"
"Slc9a4" 2.01611079861731e-89 -4.25929374097404 0.014 0.217 4.39431509666629e-85 "IM" "Slc9a4"
"Mctp2" 6.79118829195397e-89 -3.26793452007777 0.02 0.231 1.48020740011429e-84 "IM" "Mctp2"
"Rreb1" 1.26492093525734e-88 0.801593034411846 0.938 0.814 2.75702167048689e-84 "IM" "Rreb1"
"P2ry14" 2.02942368190047e-88 -2.318771439929 0.119 0.392 4.42333185707026e-84 "IM" "P2ry14"
"Gng2" 3.90854776585265e-88 1.33015466442653 0.644 0.311 8.51907071045244e-84 "IM" "Gng2"
"Cd274" 5.09962287524165e-88 -2.40396936808075 0.127 0.401 1.11151380188767e-83 "IM" "Cd274"
"Runx2" 7.90805917340459e-88 -1.54506430103034 0.466 0.68 1.72364057743526e-83 "IM" "Runx2"
"Pbx1" 2.24631376098837e-87 -2.11834553038917 0.331 0.594 4.89606547345025e-83 "IM" "Pbx1"
"Ehd4" 2.98084366259448e-87 1.53443422377654 0.618 0.302 6.49704684699093e-83 "IM" "Ehd4"
"Srgap2" 6.66380700266559e-87 0.982556795421219 0.89 0.707 1.45244337430099e-82 "IM" "Srgap2"
"Mef2a" 1.12698642010161e-86 0.75972550587442 0.942 0.836 2.45637960125346e-82 "IM" "Mef2a"
"Unc93b1" 1.00367162820727e-84 1.10159440697701 0.744 0.451 2.18760268084056e-80 "IM" "Unc93b1"
"Ms4a6c" 1.04124466023733e-84 1.28452712940318 0.55 0.206 2.26949686145329e-80 "IM" "Ms4a6c"
"Lacc1" 1.80285619120371e-83 1.92871040273939 0.4 0.099 3.9295053543476e-79 "IM" "Lacc1"
"Ptpra" 2.84060666451911e-83 1.23346051176973 0.688 0.38 6.19138628598584e-79 "IM" "Ptpra"
"Ms4a14" 4.04006217523898e-83 3.56840026947808 0.268 0.022 8.80571951715089e-79 "IM" "Ms4a14"
"Abcg1" 2.16496970734607e-82 -1.88315431225358 0.349 0.589 4.7187679741315e-78 "IM" "Abcg1"
"Ms4a6b" 1.29875909711648e-81 1.85966193616479 0.395 0.096 2.83077532807508e-77 "IM" "Ms4a6b"
"Dapk1" 1.47805034370394e-81 -1.15796190789281 0.67 0.806 3.2215585291371e-77 "IM" "Dapk1"
"Ifnar2" 2.52457151382412e-80 1.27130300553301 0.656 0.347 5.50255607153105e-76 "IM" "Ifnar2"
"Cpne5" 4.8868865072456e-80 -7.76004877633391 0.001 0.165 1.06514578311925e-75 "IM" "Cpne5"
"Pced1b" 1.17214365354227e-79 -2.01770354144047 0.202 0.464 2.55480430726073e-75 "IM" "Pced1b"
"Adgrl2" 2.08696524858477e-79 -2.03570599291826 0.152 0.415 4.54874945581536e-75 "IM" "Adgrl2"
"Ccdc88a" 3.71594748123894e-79 -1.26460594800786 0.652 0.798 8.0992791301084e-75 "IM" "Ccdc88a"
"Pitpnc1" 4.05078560226449e-78 1.34598758297243 0.675 0.398 8.82909229869569e-74 "IM" "Pitpnc1"
"Plekho1" 4.68678598195975e-78 1.40498100939188 0.514 0.19 1.02153187262795e-73 "IM" "Plekho1"
"Dmxl2" 1.77016190367205e-77 -1.56876394944809 0.395 0.604 3.8582448852436e-73 "IM" "Dmxl2"
"Bckdhb" 3.5180134359257e-77 -2.14616720605634 0.258 0.503 7.66786208494366e-73 "IM" "Bckdhb"
"Gramd4" 5.40464872767509e-77 -2.35469515081817 0.123 0.373 1.17799723668406e-72 "IM" "Gramd4"
"Ttc28" 5.74992953049465e-77 1.78981487564111 0.462 0.161 1.25325464046661e-72 "IM" "Ttc28"
"Erc2" 3.97726089738989e-76 -4.93888459136356 0.018 0.2 8.66883785195101e-72 "IM" "Erc2"
"Cd9" 4.84382651362643e-76 -1.6532010542984 0.421 0.629 1.05576042691002e-71 "IM" "Cd9"
"Serinc3" 6.09545681636084e-76 1.4237125030307 0.59 0.295 1.32856576769401e-71 "IM" "Serinc3"
"Ptprj" 1.50033425992603e-75 0.773221868997031 0.913 0.753 3.27012855293478e-71 "IM" "Ptprj"
"Celf4" 3.77891967867706e-75 -2.84654787005245 0.048 0.258 8.23653333164452e-71 "IM" "Celf4"
"Fli1" 7.03906774018964e-75 0.861124708547321 0.871 0.684 1.53423520465173e-70 "IM" "Fli1"
"Car4" 1.57397292540477e-73 -6.02193728424996 0.007 0.169 3.43063138821225e-69 "IM" "Car4"
"Rap2a" 2.46504901294747e-73 1.59156258388845 0.489 0.191 5.3728208286203e-69 "IM" "Rap2a"
"Cd47" 4.16767402019677e-73 -1.34116778725458 0.446 0.656 9.08386229442089e-69 "IM" "Cd47"
"Tgfbr1" 1.01770460672167e-72 0.940758870343729 0.924 0.807 2.21818896081054e-68 "IM" "Tgfbr1"
"Pnpla8" 7.2311012523163e-72 -1.9820791525886 0.186 0.432 1.57609082895486e-67 "IM" "Pnpla8"
"Slc11a1" 7.52019936427677e-72 1.78383322087832 0.366 0.095 1.63910265343777e-67 "IM" "Slc11a1"
"Itgav" 8.03511397852083e-72 1.17713649867207 0.691 0.403 1.7513334427584e-67 "IM" "Itgav"
