"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Lipa" 3.44204825386264e-20 -1.01147627067117 0.196 0.355 7.502288374119e-16 "0" "Lipa"
"Gm42836" 3.99680661108283e-20 -1.1823999659569 0.112 0.253 8.71143968951613e-16 "0" "Gm42836"
"Arhgap26" 6.75296729196332e-20 -0.806298124869979 0.415 0.596 1.47187675095633e-15 "0" "Arhgap26"
"Airn" 6.86722721674441e-20 -1.54801206186719 0.139 0.28 1.49678084416161e-15 "0" "Airn"
"Cit" 7.20833732632226e-20 -2.27601160655169 0.044 0.148 1.5711292036452e-15 "0" "Cit"
"Adap2os" 8.24153851654542e-20 0.651511558370747 0.622 0.501 1.79632573506624e-15 "0" "Adap2os"
"Cmklr1" 8.6191334519241e-20 1.02686965453986 0.414 0.281 1.87862632718138e-15 "0" "Cmklr1"
"Fam219a" 1.35538281553364e-19 -0.819475194401314 0.247 0.417 2.95419238473713e-15 "0" "Fam219a"
"Pvt1" 1.38000799939732e-19 0.607722406595629 0.706 0.606 3.00786543548639e-15 "0" "Pvt1"
"Zmiz1" 1.50308218419979e-19 -0.466586931200813 0.706 0.834 3.27611792868186e-15 "0" "Zmiz1"
"Nck2" 1.70972919149783e-19 -1.7493122866573 0.059 0.172 3.72652574578868e-15 "0" "Nck2"
"Ptprj" 1.7164900421064e-19 0.46482370296245 0.902 0.878 3.74126169577511e-15 "0" "Ptprj"
"Ifnar2" 2.01738867640852e-19 0.690125962359726 0.648 0.554 4.3971003591e-15 "0" "Ifnar2"
"Srgap2" 2.34083244393301e-19 0.595027870330458 0.841 0.814 5.10207839479639e-15 "0" "Srgap2"
"Lilra5" 3.41575151145902e-19 2.16293505725549 0.12 0.031 7.44497199437608e-15 "0" "Lilra5"
"Tmcc3" 4.13978139089392e-19 0.528314277205777 0.795 0.743 9.0230675195924e-15 "0" "Tmcc3"
"Lst1" 4.87584909670386e-19 1.17547313459158 0.312 0.18 1.06274006911757e-14 "0" "Lst1"
"Fanca" 5.12033947730577e-19 -1.68254000935107 0.041 0.143 1.11602919247357e-14 "0" "Fanca"
"Atp10a" 5.84780569597094e-19 -0.981499006272703 0.107 0.243 1.27458772949383e-14 "0" "Atp10a"
"Dleu2" 6.10013009129375e-19 0.397745908568794 0.922 0.904 1.32958435469839e-14 "0" "Dleu2"
"Zfp710" 6.61860853509375e-19 0.47464684150598 0.828 0.765 1.44259191630903e-14 "0" "Zfp710"
"Psd3" 7.53430736704364e-19 0.924299075859115 0.595 0.486 1.64217763372083e-14 "0" "Psd3"
"Gm35154" 9.03699359860938e-19 1.17951618058185 0.38 0.248 1.9697031247529e-14 "0" "Gm35154"
"Diaph1" 9.72253835475591e-19 -0.487976818312027 0.525 0.693 2.1191244598026e-14 "0" "Diaph1"
"Rabgap1l" 1.19974859208953e-18 -1.48284156281659 0.328 0.493 2.61497203131834e-14 "0" "Rabgap1l"
"Gm2629" 1.61151473067673e-18 1.833569761888 0.207 0.095 3.512457506983e-14 "0" "Gm2629"
"Gm47207" 1.81001958229952e-18 -3.43675090997738 0.009 0.08 3.94511868158003e-14 "0" "Gm47207"
"Sparc" 2.19611482273244e-18 1.12127660599966 0.394 0.267 4.78665186762762e-14 "0" "Sparc"
"Ldlrad3" 2.43852587059616e-18 -0.984830722954565 0.268 0.427 5.31501098755139e-14 "0" "Ldlrad3"
"Rbpms" 2.65639819684684e-18 -1.01530792982407 0.183 0.334 5.78988550984738e-14 "0" "Rbpms"
"Hmox1" 2.72326527118028e-18 -2.39009129312226 0.074 0.186 5.93562898506453e-14 "0" "Hmox1"
"Mfhas1" 3.31983083332494e-18 -0.675518555588345 0.297 0.474 7.23590328431504e-14 "0" "Mfhas1"
"Cd36" 3.64712771903759e-18 -1.41702884488023 0.112 0.239 7.94927957641433e-14 "0" "Cd36"
"Igf1" 3.66981725647219e-18 -1.28516893744838 0.154 0.288 7.99873369220678e-14 "0" "Igf1"
"Ccdc88a" 3.80506182733402e-18 -0.710900812251556 0.593 0.744 8.29351275885723e-14 "0" "Ccdc88a"
"Osbpl1a" 4.27588435537455e-18 -0.858610043179575 0.151 0.299 9.31971754097438e-14 "0" "Osbpl1a"
"Rreb1" 4.82149678174833e-18 0.391374111406012 0.904 0.85 1.05089343854987e-13 "0" "Rreb1"
"Fam49b" 4.96094086676068e-18 0.313457369716607 0.941 0.915 1.08128667131916e-13 "0" "Fam49b"
"Gm42418" 6.76930259371573e-18 0.14110290711654 1 0.999 1.47543719332628e-13 "0" "Gm42418"
"R3hdm1" 6.91654957729408e-18 -0.501517270826465 0.523 0.69 1.50753114586702e-13 "0" "R3hdm1"
"Hnrnpll" 6.94616242348049e-18 -0.621274498156565 0.272 0.445 1.51398556182181e-13 "0" "Hnrnpll"
"Cadm1" 8.34134289278754e-18 0.831166226601401 0.424 0.279 1.81807909691197e-13 "0" "Cadm1"
"Ophn1" 9.07338052320497e-18 0.614528600885851 0.69 0.582 1.97763401883775e-13 "0" "Ophn1"
"Id2" 9.56969182716696e-18 -1.86694402787455 0.04 0.134 2.08581003064931e-13 "0" "Id2"
"Emp1" 9.65352580408707e-18 -1.32529149192705 0.073 0.187 2.10408248425882e-13 "0" "Emp1"
"Creg1" 1.43663143560051e-17 -1.0386403169353 0.096 0.221 3.13128187703487e-13 "0" "Creg1"
